step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000001e+00,1.002665e+00,-2.000000e-01,9.433684e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.426540e-02,8.585898e-03,-5.426539e-02,8.585746e-03,6.793798e-02,3.472667e-07,1.127704e-01,1.368858e+01,1.921576e-03,-9.782770e-01,7.262338e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.433688e-01,9.433688e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-03,5.000000e-04,-1.000001e+00,1.003763e+00,-2.000000e-01,9.433685e-01,1.108630e-04,0,0.000000e+00,0.000000e+00,-2.186494e-02,5.338456e-04,4.155926e-02,1.552481e-02,4.492487e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.430403e-02,8.576035e-03,-5.430399e-02,8.575978e-03,6.797047e-02,3.518791e-07,1.128003e-01,1.370119e+01,1.922495e-03,-2.628777e-01,7.274703e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.433689e-01,9.438181e-01,1.200879e-04,8.986175e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.500000e-03,5.000000e-04,-1.000001e+00,1.004472e+00,-2.000000e-01,9.433686e-01,1.685594e-04,0,0.000000e+00,0.000000e+00,-4.299433e-02,1.027248e-03,8.324967e-02,2.923808e-02,1.728880e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.416818e-02,8.547591e-03,-5.416815e-02,8.547540e-03,6.779196e-02,3.523261e-07,1.125077e-01,1.366803e+01,1.917446e-03,-2.254388e-01,7.263828e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.433689e-01,9.450978e-01,1.694532e-04,2.559432e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.000000e-03,5.000000e-04,-1.000001e+00,1.005004e+00,-2.000000e-01,9.433687e-01,1.478032e-04,0,0.000000e+00,0.000000e+00,-6.421580e-02,1.525373e-03,1.249327e-01,4.323394e-02,3.853208e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.408082e-02,8.531106e-03,-5.408079e-02,8.531050e-03,6.767920e-02,3.528392e-07,1.123228e-01,1.364642e+01,1.914257e-03,-2.190196e-01,7.255595e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.433690e-01,9.472222e-01,1.488295e-04,4.248804e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,2.500000e-03,5.000000e-04,-1.000001e+00,1.005434e+00,-2.000000e-01,9.433687e-01,1.370024e-04,0,0.000000e+00,0.000000e+00,-8.542575e-02,2.022912e-03,1.666165e-01,5.720384e-02,6.815865e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.401673e-02,8.519630e-03,-5.401670e-02,8.519569e-03,6.759726e-02,3.533240e-07,1.121880e-01,1.363047e+01,1.911939e-03,-2.196223e-01,7.249064e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.433691e-01,9.501849e-01,1.379720e-04,5.925453e+00,0.000000e+00,0.000000e+00,0.000000e+00
5,3.000000e-03,5.000000e-04,-1.000001e+00,1.170639e+00,-2.002417e-01,9.734392e-01,6.014086e+01,0,0.000000e+00,0.000000e+00,-1.049566e-01,4.201027e-03,2.083001e-01,7.361766e-02,1.061820e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-4.497119e-02,2.431766e-02,-4.648508e-02,2.277784e-02,6.690115e-02,1.217001e-06,2.289929e-01,2.465300e+01,3.784501e-03,-1.847465e+02,6.458619e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.734404e-01,9.840586e-01,6.014258e+01,6.774725e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,3.500000e-03,5.000000e-04,-1.000001e+00,1.143304e+00,-2.003170e-01,9.743127e-01,1.747099e+00,0,0.000000e+00,0.000000e+00,-1.258903e-01,4.976183e-03,2.499838e-01,8.514978e-02,1.525996e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.098363e-02,4.085968e-02,-8.443582e-02,3.999501e-02,9.442720e-02,3.589075e-06,2.735665e-01,3.938763e+01,5.341609e-03,-1.867264e+00,6.073984e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.743163e-01,9.895763e-01,1.751844e+00,1.103536e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,4.000000e-03,5.000000e-04,-1.000002e+00,1.073009e+00,-2.003638e-01,9.739716e-01,-6.821524e-01,0,0.000000e+00,0.000000e+00,-1.467762e-01,5.799158e-03,2.916675e-01,9.912258e-02,2.074120e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.857537e-02,4.607407e-02,-9.202169e-02,4.521126e-02,1.031109e-01,4.337681e-06,2.930538e-01,4.423839e+01,5.832832e-03,-1.026839e+00,6.028446e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.739760e-01,9.947172e-01,-6.806552e-01,1.028182e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,4.500000e-03,5.000000e-04,-1.000002e+00,1.041159e+00,-2.003978e-01,9.736176e-01,-7.079615e-01,0,0.000000e+00,0.000000e+00,-1.676668e-01,6.617340e-03,3.333512e-01,1.130954e-01,2.706190e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-9.233685e-02,4.862061e-02,-9.577996e-02,4.775883e-02,1.078565e-01,4.772656e-06,3.050233e-01,4.673740e+01,6.101284e-03,-9.690400e-01,6.032562e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.736224e-01,1.000684e+00,-7.070915e-01,1.193432e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,5.000000e-03,5.000000e-04,-1.000003e+00,1.037962e+00,-2.004245e-01,9.733706e-01,-4.941752e-01,0,0.000000e+00,0.000000e+00,-1.885570e-01,7.436043e-03,3.750349e-01,1.270681e-01,3.422207e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-9.474057e-02,5.020280e-02,-9.818164e-02,4.934171e-02,1.109247e-01,5.071642e-06,3.130342e-01,4.830543e+01,6.274849e-03,-9.742856e-01,6.014804e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.733756e-01,1.007598e+00,-4.935773e-01,1.382677e+01,0.000000e+00,0.000000e+00,0.000000e+00
