step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
10,5.500000e-03,5.000000e-04,-1.000001e+00,1.000426e+00,-2.000000e-01,9.428126e-01,4.419047e-07,499,2.537611e-08,1.989510e+01,-2.701408e-02,1.883890e-03,1.394003e-01,6.970016e-02,2.834970e-03,1.000000e+00,1.500000e+00,1280,7.499299e-11,1.005808e+01,-1.383950e-02,2.211902e-03,-1.383950e-02,2.211902e-03,1.734661e-02,1.676438e-09,2.878811e-02,1.395213e+01,1.962545e-03,-4.077335e-02,7.284336e+02,3.423355e+02,2.148154e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.456475e-01,3.042566e-07,1.066256e+00,1.999994e-01,2.000000e-01,1.999997e-01
11,6.000000e-03,5.000000e-04,-1.000001e+00,1.000438e+00,-2.000000e-01,9.428126e-01,4.652687e-07,499,2.537934e-08,2.221663e+01,-2.968683e-02,2.070763e-03,1.531896e-01,7.659479e-02,3.423579e-03,1.000000e+00,1.500000e+00,1276,8.276274e-11,1.028461e+01,-1.383918e-02,2.212053e-03,-1.383918e-02,2.212053e-03,1.734611e-02,1.634123e-09,2.878758e-02,1.395183e+01,1.962488e-03,-4.116499e-02,7.284214e+02,3.424096e+02,2.594938e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.462362e-01,3.806380e-07,1.177218e+00,1.999994e-01,2.000000e-01,1.999997e-01
12,6.500000e-03,5.000000e-04,-1.000001e+00,1.000449e+00,-2.000000e-01,9.428126e-01,4.545870e-07,499,2.538220e-08,2.102370e+01,-3.235958e-02,2.257637e-03,1.669788e-01,8.348942e-02,4.067669e-03,1.000000e+00,1.500000e+00,1273,9.141633e-11,1.042044e+01,-1.383884e-02,2.212075e-03,-1.383884e-02,2.212075e-03,1.734565e-02,1.618763e-09,2.878696e-02,1.395151e+01,1.962436e-03,-4.163415e-02,7.284061e+02,3.424692e+02,3.083914e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.468802e-01,4.238681e-07,1.288180e+00,1.999994e-01,2.000000e-01,1.999997e-01
13,7.000000e-03,5.000000e-04,-1.000001e+00,1.000459e+00,-2.000000e-01,9.428126e-01,4.702987e-07,499,2.538460e-08,2.191668e+01,-3.503232e-02,2.444511e-03,1.807681e-01,9.038405e-02,4.767239e-03,1.000000e+00,1.500000e+00,1270,9.855309e-11,1.111191e+01,-1.383852e-02,2.211734e-03,-1.383852e-02,2.211735e-03,1.734539e-02,1.632030e-09,2.878605e-02,1.395113e+01,1.962407e-03,-4.254634e-02,7.283816e+02,3.425075e+02,3.615096e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.475798e-01,4.968326e-07,1.399142e+00,1.999993e-01,2.000000e-01,1.999997e-01
14,7.500000e-03,5.000000e-04,-1.000001e+00,1.000469e+00,-2.000000e-01,9.428126e-01,4.955938e-07,499,2.538522e-08,2.155864e+01,-3.770506e-02,2.631385e-03,1.945574e-01,9.727869e-02,5.522291e-03,1.000000e+00,1.500000e+00,1268,1.063326e-10,9.585457e+00,-1.383829e-02,2.211833e-03,-1.383829e-02,2.211834e-03,1.734504e-02,1.643325e-09,2.878565e-02,1.395092e+01,1.962367e-03,-4.318577e-02,7.283723e+02,3.425575e+02,4.188505e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.483349e-01,5.181842e-07,1.510104e+00,1.999993e-01,2.000000e-01,1.999997e-01
15,8.000000e-03,5.000000e-04,-1.000001e+00,1.000478e+00,-2.000000e-01,9.428126e-01,4.949821e-07,499,2.538618e-08,2.143850e+01,-4.037781e-02,2.818259e-03,2.083466e-01,1.041733e-01,6.332824e-03,1.000000e+00,1.500000e+00,1267,1.121404e-10,1.090708e+01,-1.383804e-02,2.211962e-03,-1.383804e-02,2.211963e-03,1.734464e-02,1.663215e-09,2.878529e-02,1.395070e+01,1.962322e-03,-4.365260e-02,7.283638e+02,3.425977e+02,4.804156e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.491454e-01,5.347611e-07,1.621066e+00,1.999993e-01,2.000000e-01,1.999997e-01
16,8.500000e-03,5.000000e-04,-1.000001e+00,1.000487e+00,-2.000000e-01,9.428126e-01,5.161578e-07,499,2.538664e-08,1.993570e+01,-4.305055e-02,3.005133e-03,2.221359e-01,1.110680e-01,7.198837e-03,1.000000e+00,1.500000e+00,1265,1.199440e-10,1.009792e+01,-1.383778e-02,2.211637e-03,-1.383778e-02,2.211638e-03,1.734446e-02,1.697331e-09,2.878451e-02,1.395039e+01,1.962301e-03,-4.419904e-02,7.283431e+02,3.426267e+02,5.462055e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.500114e-01,5.843899e-07,1.732027e+00,1.999992e-01,2.000000e-01,1.999997e-01
17,9.000000e-03,5.000000e-04,-1.000001e+00,1.000495e+00,-2.000000e-01,9.428126e-01,5.269818e-07,499,2.538668e-08,2.236342e+01,-4.572330e-02,3.192007e-03,2.359252e-01,1.179626e-01,8.120331e-03,1.000000e+00,1.500000e+00,1264,1.287063e-10,1.001844e+01,-1.383760e-02,2.211717e-03,-1.383760e-02,2.211718e-03,1.734418e-02,1.724370e-09,2.878422e-02,1.395022e+01,1.962270e-03,-4.466078e-02,7.283360e+02,3.426593e+02,6.162228e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.509329e-01,5.810596e-07,1.842989e+00,1.999992e-01,2.000000e-01,1.999996e-01
18,9.500000e-03,5.000000e-04,-1.000001e+00,1.000503e+00,-2.000000e-01,9.428126e-01,5.293364e-07,499,2.538686e-08,1.974607e+01,-4.839604e-02,3.378882e-03,2.497144e-01,1.248572e-01,9.097306e-03,1.000000e+00,1.500000e+00,1263,1.327232e-10,1.047477e+01,-1.383740e-02,2.211715e-03,-1.383740e-02,2.211716e-03,1.734391e-02,1.753069e-09,2.878384e-02,1.395003e+01,1.962240e-03,-4.494278e-02,7.283262e+02,3.426910e+02,6.904704e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.519099e-01,5.867336e-07,1.953951e+00,1.999992e-01,2.000000e-01,1.999996e-01
19,1.000000e-02,5.000000e-04,-1.000001e+00,1.000511e+00,-2.000000e-01,9.428126e-01,5.451180e-07,499,2.538679e-08,2.010156e+01,-5.106878e-02,3.565757e-03,2.635037e-01,1.317519e-01,1.012976e-02,1.000000e+00,1.500000e+00,1261,1.442451e-10,9.757547e+00,-1.383720e-02,2.211587e-03,-1.383720e-02,2.211587e-03,1.734371e-02,1.780374e-09,2.878336e-02,1.394981e+01,1.962217e-03,-4.522614e-02,7.283135e+02,3.427127e+02,7.689460e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.529423e-01,5.997296e-07,2.064912e+00,1.999991e-01,2.000000e-01,1.999996e-01
