step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_total,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
10,1.100000e-02,1.000000e-03,-1.000004e+00,1.063945e+00,-2.000000e-01,9.429402e-01,8.069802e-03,0,0.000000e+00,1.320901e+00,-4.242225e-01,9.949495e-03,8.304491e-01,2.800463e-01,1.678909e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.571112e-01,-8.456652e-01,1.344966e-01,-8.456652e-01,1.344966e-01,1.059459e+00,2.385397e-05,1.757918e+00,4.264457e+02,1.198641e-01,-1.167307e+00,2.250723e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.632367e+00,1.110855e+00,3.190748e+01,0.000000e+00,0.000000e+00,0.000000e+00
11,1.200000e-02,1.000000e-03,-1.000003e+00,1.065620e+00,-2.000000e-01,9.429483e-01,8.107124e-03,0,0.000000e+00,1.328474e+00,-4.666456e-01,1.094418e-02,9.136209e-01,3.080757e-01,2.031482e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.452778e-01,-8.455355e-01,1.344742e-01,-8.455355e-01,1.344742e-01,1.059295e+00,2.385496e-05,1.757646e+00,4.263808e+02,1.198455e-01,-1.173923e+00,2.250429e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.437014e+00,1.146120e+00,3.526541e+01,0.000000e+00,0.000000e+00,0.000000e+00
12,1.300000e-02,1.000000e-03,-1.000003e+00,1.067158e+00,-2.000000e-01,9.429565e-01,8.140635e-03,0,0.000000e+00,1.327720e+00,-5.090689e-01,1.193882e-02,9.968175e-01,3.361104e-01,2.417634e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.420474e-01,-8.454167e-01,1.344537e-01,-8.454167e-01,1.344537e-01,1.059144e+00,2.385675e-05,1.757397e+00,4.263214e+02,1.198285e-01,-1.183175e+00,2.250160e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.495369e+00,1.184744e+00,3.862334e+01,0.000000e+00,0.000000e+00,0.000000e+00
13,1.400000e-02,1.000000e-03,-1.000003e+00,1.068581e+00,-2.000000e-01,9.429646e-01,8.171057e-03,0,0.000000e+00,1.328398e+00,-5.514923e-01,1.293342e-02,1.080039e+00,3.641506e-01,2.837365e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.421248e-01,-8.453070e-01,1.344348e-01,-8.453070e-01,1.344348e-01,1.059005e+00,2.385764e-05,1.757166e+00,4.262665e+02,1.198128e-01,-1.192369e+00,2.249911e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.436237e+00,1.226725e+00,4.198128e+01,0.000000e+00,0.000000e+00,0.000000e+00
14,1.500000e-02,1.000000e-03,-1.000002e+00,1.069904e+00,-2.000000e-01,9.429728e-01,8.198927e-03,0,0.000000e+00,1.378703e+00,-5.939159e-01,1.392797e-02,1.163286e+00,3.921966e-01,3.290676e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.444883e-01,-8.452051e-01,1.344172e-01,-8.452051e-01,1.344172e-01,1.058876e+00,2.385728e-05,1.756953e+00,4.262156e+02,1.197982e-01,-1.200086e+00,2.249679e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.558174e+00,1.272064e+00,4.533923e+01,0.000000e+00,0.000000e+00,0.000000e+00
15,1.600000e-02,1.000000e-03,-1.000002e+00,1.071141e+00,-2.000000e-01,9.429811e-01,8.224652e-03,0,0.000000e+00,1.547920e+00,-6.363397e-01,1.492247e-02,1.246557e+00,4.202485e-01,3.777565e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.469436e-01,-8.451100e-01,1.344008e-01,-8.451099e-01,1.344008e-01,1.058756e+00,2.385604e-05,1.756753e+00,4.261680e+02,1.197845e-01,-1.205936e+00,2.249462e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.447290e+00,1.320761e+00,4.869719e+01,0.000000e+00,0.000000e+00,0.000000e+00
16,1.700000e-02,1.000000e-03,-1.000002e+00,1.072301e+00,-2.000000e-01,9.429893e-01,8.248547e-03,0,0.000000e+00,1.409669e+00,-6.787636e-01,1.591692e-02,1.329854e+00,4.483066e-01,4.298034e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.594293e-01,-8.450206e-01,1.343854e-01,-8.450206e-01,1.343854e-01,1.058643e+00,2.385453e-05,1.756565e+00,4.261233e+02,1.197717e-01,-1.210200e+00,2.249258e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.556593e+00,1.372817e+00,5.205515e+01,0.000000e+00,0.000000e+00,0.000000e+00
17,1.800000e-02,1.000000e-03,-1.000002e+00,1.073395e+00,-2.000000e-01,9.429976e-01,8.270866e-03,0,0.000000e+00,1.587544e+00,-7.211876e-01,1.691132e-02,1.413176e+00,4.763711e-01,4.852083e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,1.113524e+00,-8.449364e-01,1.343709e-01,-8.449364e-01,1.343709e-01,1.058536e+00,2.385328e-05,1.756389e+00,4.260812e+02,1.197597e-01,-1.213422e+00,2.249066e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.433941e+00,1.428230e+00,5.541313e+01,0.000000e+00,0.000000e+00,0.000000e+00
18,1.900000e-02,1.000000e-03,-1.000003e+00,1.074428e+00,-2.000000e-01,9.430059e-01,8.291810e-03,0,0.000000e+00,1.768268e+00,-7.636119e-01,1.790567e-02,1.496522e+00,5.044422e-01,5.439711e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,1.075988e+00,-8.448568e-01,1.343572e-01,-8.448568e-01,1.343571e-01,1.058435e+00,2.385257e-05,1.756221e+00,4.260413e+02,1.197483e-01,-1.216107e+00,2.248884e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.636594e+00,1.487001e+00,5.877112e+01,0.000000e+00,0.000000e+00,0.000000e+00
19,2.000000e-02,1.000000e-03,-1.000004e+00,1.075407e+00,-2.000000e-01,9.430142e-01,8.311544e-03,0,0.000000e+00,1.349404e+00,-8.060363e-01,1.889997e-02,1.579894e+00,5.325202e-01,6.060919e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.633510e-01,-8.447813e-01,1.343442e-01,-8.447812e-01,1.343441e-01,1.058340e+00,2.385253e-05,1.756063e+00,4.260035e+02,1.197375e-01,-1.218586e+00,2.248712e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.620055e+00,1.549130e+00,6.212912e+01,0.000000e+00,0.000000e+00,0.000000e+00
20,2.100000e-02,1.000000e-03,-1.000005e+00,1.076338e+00,-2.000000e-01,9.430225e-01,8.330204e-03,0,0.000000e+00,1.337412e+00,-8.484608e-01,1.989422e-02,1.663290e+00,5.606054e-01,6.715707e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.297561e-01,-8.447094e-01,1.343318e-01,-8.447094e-01,1.343317e-01,1.058249e+00,2.385316e-05,1.755912e+00,4.259676e+02,1.197272e-01,-1.221008e+00,2.248547e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.485982e+00,1.614617e+00,6.548713e+01,0.000000e+00,0.000000e+00,0.000000e+00
