step,time,E_CH,E_kin,E_mag,E_total,dE_total_dt
63,6.400000e-02,9.433912e-01,2.487542e-05,6.664049e+00,7.607465e+00,2.098971e+02
64,6.500000e-02,9.434000e-01,2.493865e-05,6.877296e+00,7.820721e+00,2.132558e+02
65,6.600000e-02,9.434087e-01,2.500430e-05,7.093902e+00,8.037335e+00,2.166146e+02
66,6.700000e-02,9.434174e-01,2.507238e-05,7.313866e+00,8.257309e+00,2.199734e+02
67,6.800000e-02,9.434262e-01,2.514290e-05,7.537190e+00,8.480641e+00,2.233322e+02
68,6.900000e-02,9.434349e-01,2.521587e-05,7.763872e+00,8.707332e+00,2.266910e+02
69,7.000000e-02,9.434437e-01,2.529128e-05,7.993913e+00,8.937382e+00,2.300498e+02
70,7.100000e-02,9.434525e-01,2.536913e-05,8.227313e+00,9.170791e+00,2.334087e+02
71,7.200000e-02,9.434612e-01,2.544941e-05,8.464071e+00,9.407558e+00,2.367675e+02
72,7.300000e-02,9.434700e-01,2.553211e-05,8.704189e+00,9.647684e+00,2.401264e+02
73,7.400000e-02,9.434788e-01,2.561722e-05,8.947665e+00,9.891170e+00,2.434853e+02
74,7.500000e-02,9.434876e-01,2.570470e-05,9.194501e+00,1.013801e+01,2.468442e+02
75,7.600000e-02,9.434963e-01,2.579454e-05,9.444695e+00,1.038822e+01,2.502031e+02
76,7.700000e-02,9.435051e-01,2.588670e-05,9.698248e+00,1.064178e+01,2.535621e+02
77,7.800000e-02,9.435139e-01,2.598116e-05,9.955160e+00,1.089870e+01,2.569210e+02
78,7.900000e-02,9.435227e-01,2.607787e-05,1.021543e+01,1.115898e+01,2.602800e+02
79,8.000000e-02,9.435315e-01,2.617679e-05,1.047906e+01,1.142262e+01,2.636390e+02
80,8.100000e-02,9.435403e-01,2.627787e-05,1.074605e+01,1.168962e+01,2.669980e+02
81,8.200000e-02,9.435491e-01,2.638106e-05,1.101640e+01,1.195997e+01,2.703570e+02
82,8.300000e-02,9.435580e-01,2.648631e-05,1.129011e+01,1.223369e+01,2.737160e+02
83,8.400000e-02,9.435668e-01,2.659356e-05,1.156717e+01,1.251077e+01,2.770751e+02
84,8.500000e-02,9.435756e-01,2.670274e-05,1.184760e+01,1.279120e+01,2.804341e+02
85,8.600000e-02,9.435844e-01,2.681379e-05,1.213138e+01,1.307499e+01,2.837932e+02
86,8.700000e-02,9.435932e-01,2.692662e-05,1.241852e+01,1.336214e+01,2.871523e+02
87,8.800000e-02,9.436021e-01,2.704117e-05,1.270903e+01,1.365266e+01,2.905114e+02
88,8.900000e-02,9.436109e-01,2.715735e-05,1.300289e+01,1.394653e+01,2.938706e+02
89,9.000000e-02,9.436198e-01,2.727508e-05,1.330011e+01,1.424376e+01,2.972297e+02
90,9.100000e-02,9.436286e-01,2.739426e-05,1.360069e+01,1.454435e+01,3.005889e+02
91,9.200000e-02,9.436374e-01,2.751481e-05,1.390463e+01,1.484829e+01,3.039481e+02
92,9.300000e-02,9.436463e-01,2.763661e-05,1.421193e+01,1.515560e+01,3.073073e+02
93,9.400000e-02,9.436551e-01,2.775958e-05,1.452258e+01,1.546627e+01,3.106665e+02
94,9.500000e-02,9.436640e-01,2.788359e-05,1.483660e+01,1.578029e+01,3.140257e+02
95,9.600000e-02,9.436728e-01,2.800853e-05,1.515398e+01,1.609768e+01,3.173850e+02
96,9.700000e-02,9.436817e-01,2.813430e-05,1.547471e+01,1.641842e+01,3.207442e+02
97,9.800000e-02,9.436906e-01,2.826077e-05,1.579881e+01,1.674253e+01,3.241035e+02
98,9.900000e-02,9.436994e-01,2.838780e-05,1.612626e+01,1.706999e+01,3.274629e+02
99,1.000000e-01,9.437083e-01,2.851528e-05,1.645707e+01,1.740081e+01,3.308222e+02
100,1.010000e-01,9.437171e-01,2.864306e-05,1.679125e+01,1.773499e+01,3.341816e+02
101,1.020000e-01,9.437260e-01,2.877101e-05,1.712878e+01,1.807253e+01,3.375409e+02
102,1.030000e-01,9.437349e-01,2.889899e-05,1.746967e+01,1.841343e+01,3.409003e+02
103,1.040000e-01,9.437438e-01,2.902684e-05,1.781392e+01,1.875769e+01,3.442598e+02
104,1.050000e-01,9.437526e-01,2.915441e-05,1.816153e+01,1.910531e+01,3.476192e+02
105,1.060000e-01,9.437615e-01,2.928156e-05,1.851250e+01,1.945629e+01,3.509787e+02
106,1.070000e-01,9.437704e-01,2.940811e-05,1.886683e+01,1.981063e+01,3.543382e+02
107,1.080000e-01,9.437793e-01,2.953390e-05,1.922452e+01,2.016833e+01,3.576977e+02
108,1.090000e-01,9.437881e-01,2.965877e-05,1.958557e+01,2.052938e+01,3.610572e+02
109,1.100000e-01,9.437970e-01,2.978255e-05,1.994997e+01,2.089380e+01,3.644168e+02
