step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,1.000000e-03,9.898685e-01,1.770415e-09,0.000000e+00,9.898685e-01,9.898685e-01,0.000000e+00,0.000000e+00
1,2.000000e-03,1.029218e+00,1.644885e-09,4.641947e-04,1.029218e+00,1.029682e+00,3.934912e+01,3.981331e+01
2,3.000000e-03,1.055460e+00,1.663876e-09,1.428856e-03,1.055460e+00,1.056889e+00,2.624241e+01,2.720707e+01
3,4.000000e-03,1.074103e+00,1.671972e-09,3.310608e-03,1.074103e+00,1.077414e+00,1.864321e+01,2.052496e+01
4,5.000000e-03,1.088092e+00,1.675500e-09,5.631574e-03,1.088092e+00,1.093724e+00,1.398903e+01,1.630999e+01
5,6.000000e-03,1.099016e+00,1.678806e-09,8.861908e-03,1.099016e+00,1.107878e+00,1.092374e+01,1.415408e+01
6,7.000000e-03,1.107801e+00,1.685772e-09,1.256905e-02,1.107801e+00,1.120370e+00,8.784648e+00,1.249179e+01
7,8.000000e-03,1.115025e+00,1.699575e-09,1.713310e-02,1.115025e+00,1.132158e+00,7.224162e+00,1.178820e+01
8,9.000000e-03,1.121071e+00,1.726948e-09,2.222899e-02,1.121071e+00,1.143300e+00,6.046000e+00,1.114190e+01
9,1.000000e-02,1.126203e+00,1.772281e-09,2.812855e-02,1.126203e+00,1.154332e+00,5.132181e+00,1.103174e+01
