step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.726012e-08,8.726021e-08,-6.430673e-07,1.011769e-06,8.789927e-07,1.958120e-15,4.120250e-05,5.689311e-04,4.972334e-08,-2.561153e-02,1.724977e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-2.810738e-06,0,0.000000e+00,0.000000e+00,-2.186495e-02,5.338441e-04,4.177786e-02,1.552315e-02,4.492559e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.319107e-08,2.319168e-08,-2.954437e-07,1.786518e-07,2.512487e-07,5.362211e-16,1.166714e-05,1.560201e-04,1.421277e-08,-1.918415e-02,1.887518e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.433131e-01,-2.810741e-06,8.985091e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.500000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-1.123315e-06,0,0.000000e+00,0.000000e+00,-4.299437e-02,1.027227e-03,8.370155e-02,2.919819e-02,1.728913e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.666142e-08,2.685002e-08,-1.996416e-07,1.157635e-07,1.662506e-07,1.761624e-16,6.990316e-06,9.287212e-05,9.404552e-09,-1.766715e-02,2.054854e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.445927e-01,-1.123315e-06,2.559314e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-6.682168e-07,0,0.000000e+00,0.000000e+00,-6.421586e-02,1.525339e-03,1.256176e-01,4.318522e-02,3.853286e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.393803e-08,6.120679e-08,-1.896347e-07,2.966382e-07,2.587427e-07,2.870425e-16,8.161449e-06,1.409083e-04,1.463670e-08,-1.607185e-02,2.296247e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.467171e-01,-6.682166e-07,4.248744e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,2.500000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-4.692651e-07,0,0.000000e+00,0.000000e+00,-8.542584e-02,2.022865e-03,1.675345e-01,5.714707e-02,6.816007e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-1.007744e-07,1.141065e-07,-2.294203e-07,5.591520e-07,4.764732e-07,8.638856e-16,1.325128e-05,2.446720e-04,2.695339e-08,-1.536486e-02,2.652742e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.496798e-01,-4.692640e-07,5.925441e+00,0.000000e+00,0.000000e+00,0.000000e+00
5,3.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-3.572040e-07,0,0.000000e+00,0.000000e+00,-1.066373e-01,2.520463e-03,2.094512e-01,7.111208e-02,1.061842e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-1.699834e-07,1.832026e-07,-3.111253e-07,8.949473e-07,7.564156e-07,2.390606e-15,2.072413e-05,3.823071e-04,4.278933e-08,-1.554093e-02,3.123447e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.534822e-01,-3.572009e-07,7.604822e+00,0.000000e+00,0.000000e+00,0.000000e+00
6,3.500000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-2.844585e-07,0,0.000000e+00,0.000000e+00,-1.278485e-01,3.018053e-03,2.513679e-01,8.507669e-02,1.526028e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.580050e-07,2.677332e-07,-4.219939e-07,1.320124e-06,1.113846e-06,5.546100e-15,3.014798e-05,5.533856e-04,6.300863e-08,-1.594428e-02,3.712926e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.581241e-01,-2.844522e-07,9.283730e+00,0.000000e
