step,time,message
0,5.000000e-04,"theta bounds violated: [-1.000006, 1.021731]"
0,5.000000e-04,"divU large: L2=1.774543, Linf=430.278939"
1,1.000000e-03,"theta bounds violated: [-1.000008, 1.029427]"
1,1.000000e-03,"divU large: L2=1.775380, Linf=430.491883"
1,1.000000e-03,"internal energy increasing: dE_internal/dt=0.007621"
2,1.500000e-03,"theta bounds violated: [-1.000009, 1.034593]"
2,1.500000e-03,"divU large: L2=1.774279, Linf=430.230037"
2,1.500000e-03,"internal energy increasing: dE_internal/dt=0.007494"
3,2.000000e-03,"theta bounds violated: [-1.000010, 1.038534]"
3,2.000000e-03,"divU large: L2=1.773520, Linf=430.049120"
3,2.000000e-03,"internal energy increasing: dE_internal/dt=0.007584"
4,2.500000e-03,"theta bounds violated: [-1.000009, 1.041746]"
4,2.500000e-03,"divU large: L2=1.772935, Linf=429.909971"
4,2.500000e-03,"internal energy increasing: dE_internal/dt=0.007663"
5,3.000000e-03,"theta bounds violated: [-1.000009, 1.044468]"
5,3.000000e-03,"divU large: L2=1.772458, Linf=429.796226"
5,3.000000e-03,"internal energy increasing: dE_internal/dt=0.007724"
6,3.500000e-03,"theta bounds violated: [-1.000008, 1.046835]"
6,3.500000e-03,"divU large: L2=1.772053, Linf=429.699668"
6,3.500000e-03,"internal energy increasing: dE_internal/dt=0.007772"
7,4.000000e-03,"theta bounds violated: [-1.000008, 1.048933]"
7,4.000000e-03,"divU large: L2=1.771700, Linf=429.615564"
7,4.000000e-03,"internal energy increasing: dE_internal/dt=0.007812"
