step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000006e+00,1.021731e+00,-2.000000e-01,9.428668e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.534032e-01,1.359741e-01,-8.534031e-01,1.359740e-01,1.069306e+00,2.352128e-05,1.774543e+00,4.302789e+02,6.048910e-02,-9.100044e+03,1.345962e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428904e-01,9.428904e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-03,5.000000e-04,-1.000008e+00,1.029427e+00,-2.000000e-01,9.428703e-01,7.025617e-03,0,0.000000e+00,0.000000e+00,-2.186495e-02,5.338441e-04,4.177787e-02,1.552315e-02,4.492557e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.538184e-01,1.360354e-01,-8.538183e-01,1.360355e-01,1.069832e+00,2.381913e-05,1.775380e+00,4.304919e+02,6.051885e-02,-9.101510e+03,1.346235e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428942e-01,9.433434e-01,7.621333e-03,9.061328e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.500000e-03,5.000000e-04,-1.000009e+00,1.034593e+00,-2.000000e-01,9.428740e-01,7.268590e-03,0,0.000000e+00,0.000000e+00,-4.299437e-02,1.027227e-03,8.370158e-02,2.919820e-02,1.728912e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.532944e-01,1.359441e-01,-8.532943e-01,1.359441e-01,1.069167e+00,2.393204e-05,1.774279e+00,4.302300e+02,6.048124e-02,-9.101398e+03,1.345156e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428979e-01,9.446268e-01,7.494409e-03,2.566806e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.000000e-03,5.000000e-04,-1.000010e+00,1.038534e+00,-2.000000e-01,9.428777e-01,7.415755e-03,0,0.000000e+00,0.000000e+00,-6.421586e-02,1.525339e-03,1.256177e-01,4.318524e-02,3.853280e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.529326e-01,1.358815e-01,-8.529325e-01,1.358816e-01,1.068709e+00,2.401623e-05,1.773520e+00,4.300491e+02,6.045531e-02,-9.101296e+03,1.344391e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.429017e-01,9.467550e-01,7.584134e-03,4.256321e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,2.500000e-03,5.000000e-04,-1.000009e+00,1.041746e+00,-2.000000e-01,9.428815e-01,7.528205e-03,0,0.000000e+00,0.000000e+00,-8.542584e-02,2.022864e-03,1.675346e-01,5.714710e-02,6.815993e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.526543e-01,1.358335e-01,-8.526543e-01,1.358335e-01,1.068357e+00,2.408367e-05,1.772935e+00,4.299100e+02,6.043537e-02,-9.101203e+03,1.343795e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.429055e-01,9.497215e-01,7.663071e-03,5.933088e+00,0.000000e+00,0.000000e+00,0.000000e+00
5,3.000000e-03,5.000000e-04,-1.000009e+00,1.044468e+00,-2.000000e-01,9.428853e-01,7.619081e-03,0,0.000000e+00,0.000000e+00,-1.066373e-01,2.520462e-03,2.094514e-01,7.111212e-02,1.061839e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.524269e-01,1.357942e-01,-8.524269e-01,1.357943e-01,1.068069e+00,2.413634e-05,1.772458e+00,4.297962e+02,6.041908e-02,-9.101119e+03,1.343304e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.429094e-01,9.535278e-01,7.724419e-03,7.612520e+00,0.000000e+00,0.000000e+00,0.000000e+00
6,3.500000e-03,5.000000e-04,-1.000008e+00,1.046835e+00,-2.000000e-01,9.428891e-01,7.695039e-03,0,0.000000e+00,0.000000e+00,-1.278485e-01,3.018051e-03,2.513682e-01,8.507675e-02,1.526024e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.522339e-01,1.357609e-01,-8.522339e-01,1.357610e-01,1.067824e+00,2.417503e-05,1.772053e+00,4.296997e+02,6.040526e-02,-9.101055e+03,1.342886e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.429133e-01,9.581735e-01,7.772425e-03,9.291463e+00,0.000000e+00,0.000000
