step,time,message
5,6.000000e-03,"theta bounds violated: [-1.002620, 1.019182]"
5,6.000000e-03,"divU large: L2=0.830711, Linf=16.386987"
5,6.000000e-03,"internal energy increasing: dE_internal/dt=363.440687"
6,7.000000e-03,"theta bounds violated: [-1.006492, 1.028630]"
6,7.000000e-03,"divU large: L2=0.630997, Linf=12.989176"
7,8.000000e-03,"theta bounds violated: [-1.010637, 1.030060]"
7,8.000000e-03,"divU large: L2=0.470595, Linf=9.684734"
8,9.000000e-03,"theta bounds violated: [-1.012199, 1.029815]"
8,9.000000e-03,"divU large: L2=0.359659, Linf=7.141496"
9,1.000000e-02,"theta bounds violated: [-1.012884, 1.028964]"
9,1.000000e-02,"divU large: L2=0.285668, Linf=5.399274"
10,1.100000e-02,"theta bounds violated: [-1.018962, 1.066270]"
10,1.100000e-02,"divU large: L2=2.038545, Linf=43.820227"
10,1.100000e-02,"internal energy increasing: dE_internal/dt=759.353517"
11,1.200000e-02,"theta bounds violated: [-1.026020, 1.064865]"
11,1.200000e-02,"divU large: L2=1.178226, Linf=20.255559"
12,1.300000e-02,"theta bounds violated: [-1.027361, 1.059513]"
12,1.300000e-02,"divU large: L2=0.861462, Linf=14.820853"
13,1.400000e-02,"theta bounds violated: [-1.026825, 1.054814]"
13,1.400000e-02,"divU large: L2=0.662145, Linf=12.921813"
14,1.500000e-02,"theta bounds violated: [-1.025734, 1.050628]"
14,1.500000e-02,"divU large: L2=0.536712, Linf=12.750940"
15,1.600000e-02,"theta bounds violated: [-1.042823, 1.073846]"
15,1.600000e-02,"divU large: L2=2.272724, Linf=46.115266"
15,1.600000e-02,"internal energy increasing: dE_internal/dt=691.749434"
16,1.700000e-02,"theta bounds violated: [-1.044327, 1.070807]"
16,1.700000e-02,"divU large: L2=1.351099, Linf=32.150165"
17,1.800000e-02,"theta bounds violated: [-1.042011, 1.064580]"
17,1.800000e-02,"divU large: L2=1.000357, Linf=28.126675"
18,1.900000e-02,"theta bounds violated: [-1.039412, 1.059156]"
18,1.900000e-02,"divU large: L2=0.741666, Linf=25.040329"
19,2.000000e-02,"theta bounds violated: [-1.036686, 1.054667]"
19,2.000000e-02,"divU large: L2=0.558301, Linf=22.570190"
20,2.100000e-02,"theta bounds violated: [-1.045250, 1.093368]"
20,2.100000e-02,"divU large: L2=3.095512, Linf=44.685078"
20,2.100000e-02,"internal energy increasing: dE_internal/dt=1436.230840"
21,2.200000e-02,"theta bounds violated: [-1.046141, 1.087597]"
21,2.200000e-02,"divU large: L2=1.559839, Linf=33.592621"
22,2.300000e-02,"theta bounds violated: [-1.043374, 1.069111]"
22,2.300000e-02,"divU large: L2=1.108036, Linf=29.636723"
23,2.400000e-02,"theta bounds violated: [-1.040499, 1.063032]"
23,2.400000e-02,"divU large: L2=0.796299, Linf=24.050945"
24,2.500000e-02,"theta bounds violated: [-1.037580, 1.057288]"
24,2.500000e-02,"divU large: L2=0.579799, Linf=21.202816"
25,2.600000e-02,"theta bounds violated: [-1.045327, 1.088228]"
25,2.600000e-02,"divU large: L2=2.686137, Linf=47.137875"
25,2.600000e-02,"internal energy increasing: dE_internal/dt=1076.209578"
26,2.700000e-02,"theta bounds violated: [-1.046087, 1.084364]"
26,2.700000e-02,"divU large: L2=1.425986, Linf=34.370068"
27,2.800000e-02,"theta bounds violated: [-1.043277, 1.072469]"
27,2.800000e-02,"divU large: L2=1.036739, Linf=30.604595"
28,2.900000e-02,"theta bounds violated: [-1.040388, 1.063342]"
28,2.900000e-02,"divU large: L2=0.772545, Linf=28.204607"
29,3.000000e-02,"theta bounds violated: [-1.037465, 1.056235]"
29,3.000000e-02,"divU large: L2=0.584544, Linf=26.475683"
30,3.100000e-02,"theta bounds violated: [-1.077022, 1.130945]"
30,3.100000e-02,"divU large: L2=4.025194, Linf=65.910935"
30,3.100000e-02,"internal energy increasing: dE_internal/dt=2078.565646"
31,3.200000e-02,"theta bounds violated: [-1.079397, 1.138179]"
31,3.200000e-02,"divU large: L2=2.081382, Linf=35.361158"
32,3.300000e-02,"theta bounds violated: [-1.067827, 1.126837]"
32,3.300000e-02,"divU large: L2=1.465847, Linf=29.995468"
33,3.400000e-02,"theta bounds violated: [-1.057437, 1.117862]"
33,3.400000e-02,"divU large: L2=1.081759, Linf=26.445554"
34,3.500000e-02,"theta bounds violated: [-1.049962, 1.104062]"
34,3.500000e-02,"divU large: L2=0.816086, Linf=23.773015"
35,3.600000e-02,"theta bounds violated: [-1.058678, 1.096655]"
35,3.600000e-02,"divU large: L2=2.653179, Linf=96.497809"
35,3.600000e-02,"internal energy increasing: dE_internal/dt=547.081710"
