step,time,message
0,1.000000e-03,"divU large: L2=1.788348, Linf=433.307241"
1,2.000000e-03,"theta bounds violated: [-1.000008, 1.029512]"
1,2.000000e-03,"divU large: L2=1.776672, Linf=430.794988"
1,2.000000e-03,"energy increasing: dE/dt=1.685346"
2,3.000000e-03,"theta bounds violated: [-1.000009, 1.038391]"
2,3.000000e-03,"divU large: L2=1.773927, Linf=430.145489"
2,3.000000e-03,"energy increasing: dE/dt=5.044130"
3,4.000000e-03,"theta bounds violated: [-1.000009, 1.044388]"
3,4.000000e-03,"divU large: L2=1.772728, Linf=429.859981"
3,4.000000e-03,"energy increasing: dE/dt=8.402217"
4,5.000000e-03,"theta bounds violated: [-1.000008, 1.048887]"
4,5.000000e-03,"divU large: L2=1.771899, Linf=429.662594"
4,5.000000e-03,"energy increasing: dE/dt=11.760094"
5,6.000000e-03,"theta bounds violated: [-1.000007, 1.052505]"
5,6.000000e-03,"divU large: L2=1.771263, Linf=429.511035"
5,6.000000e-03,"energy increasing: dE/dt=15.117969"
6,7.000000e-03,"theta bounds violated: [-1.000006, 1.055536]"
6,7.000000e-03,"divU large: L2=1.770743, Linf=429.387255"
6,7.000000e-03,"energy increasing: dE/dt=18.475872"
7,8.000000e-03,"theta bounds violated: [-1.000005, 1.058147]"
7,8.000000e-03,"divU large: L2=1.770302, Linf=429.282301"
7,8.000000e-03,"energy increasing: dE/dt=21.833795"
8,9.000000e-03,"theta bounds violated: [-1.000005, 1.060442]"
8,9.000000e-03,"divU large: L2=1.769919, Linf=429.191049"
8,9.000000e-03,"energy increasing: dE/dt=25.191724"
9,1.000000e-02,"theta bounds violated: [-1.000004, 1.062489]"
9,1.000000e-02,"divU large: L2=1.769580, Linf=429.110269"
9,1.000000e-02,"energy increasing: dE/dt=28.549654"
10,1.100000e-02,"theta bounds violated: [-1.000004, 1.064338]"
10,1.100000e-02,"divU large: L2=1.769275, Linf=429.037769"
10,1.100000e-02,"energy increasing: dE/dt=31.907584"
11,1.200000e-02,"theta bounds violated: [-1.000003, 1.066022]"
11,1.200000e-02,"divU large: L2=1.768999, Linf=428.971975"
11,1.200000e-02,"energy increasing: dE/dt=35.265514"
12,1.300000e-02,"theta bounds violated: [-1.000003, 1.067569]"
12,1.300000e-02,"divU large: L2=1.768746, Linf=428.911715"
12,1.300000e-02,"energy increasing: dE/dt=38.623448"
13,1.400000e-02,"theta bounds violated: [-1.000003, 1.069000]"
13,1.400000e-02,"divU large: L2=1.768513, Linf=428.856095"
13,1.400000e-02,"energy increasing: dE/dt=41.981388"
14,1.500000e-02,"theta bounds violated: [-1.000002, 1.070331]"
14,1.500000e-02,"divU large: L2=1.768296, Linf=428.804421"
14,1.500000e-02,"energy increasing: dE/dt=45.339337"
15,1.600000e-02,"theta bounds violated: [-1.000002, 1.071575]"
15,1.600000e-02,"divU large: L2=1.768093, Linf=428.756148"
15,1.600000e-02,"energy increasing: dE/dt=48.697295"
16,1.700000e-02,"theta bounds violated: [-1.000002, 1.072742]"
16,1.700000e-02,"divU large: L2=1.767903, Linf=428.710836"
16,1.700000e-02,"energy increasing: dE/dt=52.055263"
17,1.800000e-02,"theta bounds violated: [-1.000002, 1.073842]"
17,1.800000e-02,"divU large: L2=1.767723, Linf=428.668132"
17,1.800000e-02,"energy increasing: dE/dt=55.413242"
18,1.900000e-02,"theta bounds violated: [-1.000003, 1.074881]"
18,1.900000e-02,"divU large: L2=1.767554, Linf=428.627742"
18,1.900000e-02,"energy increasing: dE/dt=58.771232"
19,2.000000e-02,"theta bounds violated: [-1.000004, 1.075866]"
19,2.000000e-02,"divU large: L2=1.767393, Linf=428.589419"
19,2.000000e-02,"energy increasing: dE/dt=62.129234"
20,2.100000e-02,"theta bounds violated: [-1.000005, 1.076802]"
20,2.100000e-02,"divU large: L2=1.767240, Linf=428.552956"
20,2.100000e-02,"energy increasing: dE/dt=65.487247"
