step,time,E_CH,E_kin,E_mag,E_total,dE_total_dt
0,1.000000e-03,9.428638e-01,2.404277e-05,0.000000e+00,9.428879e-01,0.000000e+00
1,2.000000e-03,9.428703e-01,2.401080e-05,1.678894e-03,9.445732e-01,1.685346e+00
2,3.000000e-03,9.428776e-01,2.416029e-05,6.715582e-03,9.496173e-01,5.044130e+00
3,4.000000e-03,9.428852e-01,2.428278e-05,1.511007e-02,9.580195e-01,8.402217e+00
4,5.000000e-03,9.428929e-01,2.431446e-05,2.686238e-02,9.697796e-01,1.176009e+01
5,6.000000e-03,9.429008e-01,2.428337e-05,4.197251e-02,9.848976e-01,1.511797e+01
6,7.000000e-03,9.429088e-01,2.423391e-05,6.044048e-02,1.003373e+00,1.847587e+01
7,8.000000e-03,9.429168e-01,2.419244e-05,8.226630e-02,1.025207e+00,2.183379e+01
8,9.000000e-03,9.429249e-01,2.416661e-05,1.074500e-01,1.050399e+00,2.519172e+01
9,1.000000e-02,9.429330e-01,2.415453e-05,1.359915e-01,1.078949e+00,2.854965e+01
10,1.100000e-02,9.429412e-01,2.415132e-05,1.678909e-01,1.110856e+00,3.190758e+01
11,1.200000e-02,9.429494e-01,2.415227e-05,2.031482e-01,1.146122e+00,3.526551e+01
12,1.300000e-02,9.429576e-01,2.415402e-05,2.417634e-01,1.184745e+00,3.862345e+01
13,1.400000e-02,9.429659e-01,2.415488e-05,2.837365e-01,1.226727e+00,4.198139e+01
14,1.500000e-02,9.429742e-01,2.415446e-05,3.290676e-01,1.272066e+00,4.533934e+01
15,1.600000e-02,9.429825e-01,2.415317e-05,3.777566e-01,1.320763e+00,4.869729e+01
16,1.700000e-02,9.429909e-01,2.415161e-05,4.298035e-01,1.372818e+00,5.205526e+01
17,1.800000e-02,9.429992e-01,2.415030e-05,4.852083e-01,1.428232e+00,5.541324e+01
18,1.900000e-02,9.430076e-01,2.414956e-05,5.439712e-01,1.487003e+00,5.877123e+01
19,2.000000e-02,9.430161e-01,2.414950e-05,6.060920e-01,1.549132e+00,6.212923e+01
